PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag,HAS_CC,HAS_PL,Total_TL,Tot_Active_TL,Tot_Closed_TL,total_tl_opened_l6m,tot_tl_closed_l6m,pct_tl_closed_l6m,pct_tl_open_l6m,pct_active_tl,pct_closed_tl,total_tl_opened_l12m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
16,42,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,1,1,1,46,13,11,5,Married,12TH,44,M,25000,245,0.875,0.875,0.814999998,0.160999998,1,NULL,0,1,1,1,1,2.415999889,0,0,ConsumerLoan,others,643,4,1,0,8,7,1,7,1,0.125,0.875,0.875,0.125,8,1,1,0.125,2,1,1,5,0,0,0,1,7,1,9,1
17,42,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,234,1,0,0,Married,SSC,30,M,30000,121,1,0,1.22300005,NULL,0,NULL,0,0,0,0,0,2.532999992,0,0,others,others,678,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,7,7
18,71,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,12TH,33,M,32000,154,1,1,0.400000006,NULL,0,NULL,0,0,0,0,0,0.375,0,0,others,others,682,2,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,6,6
19,2984,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,12TH,31,M,28000,122,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,691,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,110,110
20,80,30,11,8,89,89,0,1,1,NULL,22,2,1,38,6,12,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,1679,0,0,0,Married,UNDER GRADUATE,31,M,48000,126,0.286000013,1,0.538999975,NULL,0,NULL,0,0,0,0,0,6.25,1,0,others,others,720,1,0,0,7,2,5,1,0,0,0.143000007,0.286000013,0.713999987,1,1,0.143000007,0.143000007,0,0,0,0,2,0,0,5,2,5,138,3
21,45,7,7,1,14,14,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,35,2,1,1,Married,SSC,25,M,65000,129,1,0,0.5,NULL,0,NULL,0,0,0,0,0,0.30399999,0,0,others,ConsumerLoan,669,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8,8
22,51,8,8,1,15,15,0,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,4,0,2,200,3,0,0,Married,UNDER GRADUATE,35,F,64000,35,0.600000024,0,1.032999992,NULL,0,0.901000023,1,0,0,0,0,3.108999968,0,0,PL,others,699,2,0,1,5,3,2,0,1,0.200000003,0,0.600000024,0.400000006,2,1,0.400000006,0.200000003,1,3,0,1,0,0,1,3,2,0,92,10
23,97,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,1,Single,GRADUATE,24,M,15000,60,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,ConsumerLoan,others,678,2,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,40,40
24,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Single,OTHERS,21,M,16000,36,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,689,2,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,11,11
25,77,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,60,8,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,293,1,0,0,Single,12TH,22,M,30000,121,0.666999996,0,0.894999981,NULL,0,NULL,0,0,0,0,0,5.428999901,0,0,others,others,702,3,0,0,3,2,1,0,0,0,0,0.666999996,0.333000004,1,1,0.333000004,0.333000004,0,0,0,0,0,0,0,1,2,3,51,10
26,65,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Single,12TH,21,M,35000,275,1,0,0.943000019,NULL,0,NULL,0,0,0,0,0,NULL,0,1,others,others,677,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17,17
27,1341,35,10,10,190,190,0,2,2,NULL,190,9,8,0,0,0,0,0,0,0,0,0,0,0,0,190,3,2,1,1,0,0,0,58,1,1,1,Single,12TH,28,M,20000,39,0,0,0,NULL,1,NULL,0,0,1,0,0.5,NULL,0,0,CC,others,660,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,59,59
28,76,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,156,1,1,0,Married,12TH,30,F,10000,23,0.455000013,0.333000004,0.90200001,NULL,0,NULL,0,1,0,1,0,NULL,1,0,PL,others,685,2,0,0,11,5,6,1,1,0.090999998,0.090999998,0.455000013,0.545000017,3,1,0.273000002,0.090999998,2,1,0,1,8,0,0,9,2,1,37,3
29,88,34,34,1,183,183,0,0,0,NULL,0,1,1,107,17,43,0,0,0,0,0,0,0,0,0,183,1,0,0,0,0,0,0,366,0,0,0,Married,SSC,37,F,25000,101,0.189999998,0.400000006,0.978999972,NULL,0,NULL,0,0,0,0,0,NULL,1,1,HL,HL,740,1,0,0,42,8,34,2,2,0.048,0.048,0.189999998,0.810000002,5,3,0.119000003,0.071000002,3,0,0,0,26,1,0,35,7,15,159,4
30,77,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,71,3,1,1,Single,GRADUATE,33,M,50000,80,1,0.666999996,0.442000002,NULL,0,NULL,0,0,0,0,0,0.533999979,0,0,others,CC,678,2,0,0,3,3,0,2,0,0,0.666999996,1,0,3,0,1,0,2,0,0,2,0,0,0,0,3,1,10,2
31,68,32,6,4,56,25,0,2,2,0,56,1,0,31,5,11,0,0,0,0,0,0,0,0,0,25,14,1,1,1,3,2,3,60,12,9,2,Single,POST-GRADUATE,22,M,50000,64,0.800000012,0.600000024,0.834999979,1,1,NULL,0,0.666999996,1,0.666999996,1,7.445000172,0,1,others,others,671,2,1,0,10,8,2,3,0,0,0.300000012,0.800000012,0.200000003,5,2,0.5,0.200000003,2,3,1,2,0,2,0,5,5,2,38,2
32,34,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,9,4,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,12,11,10,Married,SSC,52,M,21000,182,0.75,0.666999996,0.763999999,NULL,0,NULL,0,0,0,0,0,1.656999946,0,0,ConsumerLoan,others,638,4,0,0,4,3,1,2,0,0,0.5,0.75,0.25,3,0,0.75,0,0,2,0,2,0,0,0,2,2,0,47,2
33,75,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,149,4,1,0,Married,12TH,41,M,18000,217,0.600000024,0.5,0.63499999,NULL,0,NULL,0,0,0,0,0,1.860000014,0,0,HL,ConsumerLoan,689,2,0,0,5,3,2,2,1,0.200000003,0.400000006,0.600000024,0.400000006,4,1,0.800000012,0.200000003,2,0,0,5,0,0,0,0,5,0,20,3
34,76,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16,4,3,2,Single,GRADUATE,25,M,15000,63,1,1,0.600000024,NULL,0,NULL,0,0,0,0,0,1.200000048,0,0,ConsumerLoan,others,663,3,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,4,4
35,99,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,207,1,0,0,Married,SSC,25,M,12000,40,1,0,0.762000024,NULL,0,NULL,0,0,0,0,0,8.75,0,0,others,others,692,2,0,0,2,2,0,0,0,0,0,1,0,1,0,0.5,0,1,0,0,0,0,0,0,1,1,2,26,7
36,48,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,581,0,0,0,Married,GRADUATE,26,M,30000,62,1,0,0.526000023,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,693,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,19
37,33,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,3,6,5,6,3,13,9,3,Married,GRADUATE,30,F,25000,62,0.856999993,0.600000024,0.810000002,0.853999972,1,0.966000021,1,0.833000004,1,0.833000004,1,12.60000038,0,0,PL,others,678,2,1,1,7,6,1,3,1,0.143000007,0.42899999,0.856999993,0.143000007,5,1,0.713999987,0.143000007,0,1,2,3,0,0,1,1,6,0,41,4
38,341,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,26,5,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,1,1,1,Married,OTHERS,38,M,55000,231,0.273000002,0,1,NULL,0,NULL,0,0,0,0,0,NULL,1,0,ConsumerLoan,ConsumerLoan,705,1,0,0,11,3,8,0,0,0,0,0.273000002,0.726999998,1,0,0.090999998,0,0,0,0,0,6,0,0,6,5,5,73,11
39,277,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,5,5,5,Married,12TH,57,M,40000,130,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,ConsumerLoan,others,657,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,45,45
40,92,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,821,0,0,0,Married,SSC,48,M,25000,300,0,0,0,NULL,0,NULL,1,0,0,0,0,NULL,0,0,others,others,693,2,0,0,2,0,2,0,1,0.5,0,0,1,0,1,0,0.5,0,1,0,0,0,0,1,1,1,0,32,27
41,NULL,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Single,12TH,25,M,25000,54,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,672,2,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,19,19
42,105,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2,79,3,2,1,Married,GRADUATE,31,M,15000,125,1,0,0,NULL,0,NULL,0,1,0,1,0,0.933000028,0,0,PL,others,663,3,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,10,10
43,83,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,GRADUATE,25,F,18500,80,1,1,0.703999996,NULL,0,NULL,0,0,0,0,0,NULL,0,1,others,others,673,2,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,5,5
44,875,35,31,4,60,60,0,0,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,1481,0,0,0,Married,12TH,52,M,13000,244,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,662,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,49,49
45,53,29,15,4,59,4,0,0,0,0,0,2,0,25,4,10,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,1,3,3,2,Married,POST-GRADUATE,31,M,45000,181,0.400000006,0,0.583000004,NULL,0,NULL,0,0,0,0,0,2.977999926,0,0,ConsumerLoan,ConsumerLoan,659,3,0,0,5,2,3,0,0,0,0,0.400000006,0.600000024,1,0,0.200000003,0,0,0,0,2,0,0,0,0,5,3,33,12
46,80,21,21,1,9,9,0,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,9,23,1,1,1,13,8,13,49,18,9,5,Married,GRADUATE,25,M,20000,70,0.416999996,0.699999988,0.903999984,1,1,0.903999984,1,0.61500001,1,0.61500001,1,7.729000092,0,0,CC,others,651,4,1,1,12,5,7,7,4,0.333000004,0.583000004,0.416999996,0.583000004,10,5,0.833000004,0.416999996,3,2,1,2,0,0,7,2,10,0,48,2
47,101,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,232,2,0,0,Married,12TH,51,M,12000,191,1,0,0.300000012,NULL,0,NULL,0,0,0,0,0,0.791000009,0,0,PL,others,679,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8,8
48,40,15,14,2,35,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,64,6,5,4,Married,UNDER GRADUATE,25,F,18000,105,0.5,0,0.676999986,NULL,0,NULL,0,0,0,0,0,0.561999977,0,0,ConsumerLoan,ConsumerLoan,655,4,0,0,2,1,1,0,1,0.5,0,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,18,7
49,83,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,8,1,1,1,5,5,5,1,8,8,3,Married,UNDER GRADUATE,24,M,18000,25,0.57099998,1,1.491000056,NULL,0,NULL,1,1,1,1,1,0.001,0,0,ConsumerLoan,PL,664,3,0,0,7,4,3,5,2,0.286000013,0.713999987,0.57099998,0.42899999,5,2,0.713999987,0.286000013,2,0,0,0,0,0,2,4,3,5,60,2
50,56,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,422,0,0,0,Single,UNDER GRADUATE,26,M,17000,50,1,0,0.550000012,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,691,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14,14
51,64,35,31,5,599,478,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,478,5,0,0,0,1,1,1,9,3,3,2,Married,12TH,33,M,25000,182,1,1,0.149000004,NULL,0,NULL,0,1,0,1,0,0.493999988,0,0,ConsumerLoan,others,671,2,0,0,4,4,0,2,0,0,0.5,1,0,2,0,0.5,0,1,1,0,0,0,0,0,1,3,3,83,5
52,1084,28,24,5,150,90,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,90,3,0,0,0,0,0,0,83,3,3,2,Married,GRADUATE,34,M,30000,190,0.5,1,1,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,660,3,0,0,2,1,1,1,0,0,0.5,0.5,0.5,1,0,0.5,0,1,1,0,0,0,0,0,2,0,1,59,3
53,518,33,28,4,56,23,0,0,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,1344,0,0,0,Single,SSC,27,M,16000,13,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,660,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,44,44
54,81,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,4,17,6,6,2,Single,GRADUATE,23,M,15000,30,0.333000004,1,0.800000012,NULL,0,NULL,1,1,0,1,0,1.5,0,0,ConsumerLoan,others,655,4,0,0,3,1,2,2,2,0.666999996,0.666999996,0.333000004,0.666999996,2,2,0.666999996,0.666999996,0,1,0,1,0,0,1,1,2,0,16,4
55,62,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,3,3,19,8,8,4,Single,UNDER GRADUATE,34,M,35000,110,0.800000012,1,0.624000013,NULL,0,0.653999984,1,1,0,0.75,0,3.013999939,0,0,PL,ConsumerLoan,654,4,0,1,5,4,1,3,0,0,0.600000024,0.800000012,0.200000003,3,0,0.600000024,0,1,0,0,2,0,0,2,0,5,1,24,5
56,46,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,15,8,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,263,1,0,0,Married,12TH,53,M,20000,122,1,0,0.888000011,NULL,0,0.888000011,1,0,0,0,0,5,0,0,PL,PL,690,2,0,1,2,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0,9,8
